ID,Kanji,Old_Kanji,Radical,Year of Inclusion,Strokes,Grade,JLPT-test,Name of Radical,English Meaning,Tamil Meaning,Reading within Joyo,Reading beyond Joyo,Kanji Classification,On within Joyo,Kun within Joyo,Stroke Order Image
1647,八,,八,1981,2,1,5,Hachi,eight,எட்டு,ハチ、や、や-つ、やっ-つ、[よう],ハツ,指事 Ideographic,hachi,"ya, ya(tsu), yat(tsu), [yoo]",八.gif
1716,百,,白,1981,6,1,5,Shiro,hundred,நூறு,ヒャク,もも,指事 Ideographic,hyaku,-,百.gif
1786,文,,文,1981,4,1,4,Bun,writing,"இலக்கியம், வாக்கியம், வடிவம்",ブン、モン、ふみ,あや、もじ,象形 Pictographic,"bun, mon",fumi,文.gif
1876,木,,木,1981,4,1,5,"Ki, Kihen",tree,மரம்,ボク、モク、き、[こ],,象形 Pictographic,"boku, moku","ki, [ko]",木.gif
1886,本,,木,1981,5,1,5,"Ki, Kihen",book,புத்தகம்,ホン、もと,,指事 Ideographic,hon,moto,本.gif
1926,名,,口,1981,6,1,5,"Kuchi, Kuchihen",name,பெயர்,メイ、ミョウ、な,,会意 Com. Ideographic,"mei, myoo",na,名.gif
1947,目,,目,1981,5,1,4,"Me, Mehen",eye,கண்,モク、[ボク]、め、[ま],,象形 Pictographic,"moku, [boku]","me, [ma]",目.gif
2045,立,,立,1981,5,1,4,Tatsu,stand up,"நில், எழுந்திரு",リツ、[リュウ]、た-つ、た-てる,,会意 Com. Ideographic,"ritsu, [ryuu]","ta(tsu), ta(teru)",立.gif
2074,力,,力,1981,2,1,4,Chikara,power,சக்தி,リョク、リキ、ちから,つと,象形 Pictographic,"ryoku, riki",chikara,力.gif
2076,林,,木,1981,8,1,3,"Ki, Kihen",woods,காடு,リン、はやし,,会意 Com. Ideographic,rin,hayashi,林.gif
2125,六,,八,1981,4,1,5,Hachi,six,ஆறு,ロク、む、む-つ、むっ-つ、[むい],リク,仮借 Loan,roku,"mu, mu(tsu), mut(tsu), [mui]",六.gif
46,引,,弓,1981,4,2,3,"Yumi, Yumihen",pull,இழு,イン、ひ-く、ひ-ける,,会意 Com. Ideographic,in,"hi(ku), hi(keru)",引.gif
60,羽,,羽,1981,6,2,2,Hane,feather,இறகு,ウ、は、はね,わ,象形 Pictographic,u,"ha, hane",羽.gif
67,雲,,雨,1981,12,2,2,"Ame, Amekanmuri",cloud,மேகம்,ウン、くも,,形声 Phonetic,un,kumo,雲.gif
95,園,,囗,1981,13,2,3,Kunigamae,garden,தோட்டம்,エン、その,オン,形声 Phonetic,en,sono,園.gif
98,遠,,辵,1981,13,2,3,Shinnyoo,far,தொலைவு,エン、[オン]、とお-い,,形声 Phonetic,"en, [on]",too(i),遠.gif
137,何,,人,1981,7,2,5,"Hito, Ninben, Hitoyane",what,என்ன,カ、なに、[なん],いず,形声 Phonetic,ka,"nani, [nan]",何.gif
144,科,,禾,1981,9,2,3,"Nogi, Nogihen",section,துறை,カ,しな、とが,会意 Com. Ideographic,ka,-,科.gif
146,夏,,夊,1981,10,2,4,Suinyoo,summer,கோடை,カ、[ゲ]、なつ,,象形 Pictographic,"ka, [ge]",natsu,夏.gif
147,家,,宀,1981,10,2,4,Ukanmuri,house,வீடு,カ、ケ、いえ、や,,会意 Com. Ideographic,"ka, ke","ie, ya",家.gif
159,歌,,欠,1981,14,2,4,Akubi,song,பாடல்,カ、うた、うた-う,,形声 Phonetic,ka,"uta, uta(u)",歌.gif
167,画,畫,田,1981,8,2,4,"Ta, Tahen",tableau,காட்சி,ガ、カク,エ、えが,会意 Com. Ideographic,"ga, kaku",-,画.gif
173,回,,囗,1981,6,2,3,Kunigamae,times,முறை,カイ、[エ]、まわ-る、まわ-す,めぐ,象形 Pictographic,"kai, [e]","mawa(ru), mawa(su)",回.gif
175,会,會,曰,1981,6,2,4,"Hito, Ninben, Hitoyane",association,"சந்திப்பு, கூடுதல்",カイ、エ、あ-う,ケ,象形 Pictographic,"kai, e",a(u),会.gif
182,海,海 [4],水,1981,9,2,4,"Mizu, Sanzui, Shitamizu",sea,கடல்,カイ、うみ,,形声 Phonetic,kai,umi,海.gif
186,絵,繪,糸,1981,12,2,3,"Ito, Itohen",picture,ஓவியம்,カイ、エ,,形声 Phonetic,"kai, e",-,絵.gif
197,外,,夕,1981,5,2,5,Yuube,outside,வெளி,ガイ、ゲ、そと、ほか、はず-す、はず-れる,ウイ,会意 Com. Ideographic,"gai, ge","soto, hoka, ha(zusu), hazu(reru)",外.gif
211,角,,角,1981,7,2,2,"Tsuno, Tsunohen",angle,மூலை,カク、かど、つの,すみ、ずみ,象形 Pictographic,kaku,"kado, tsuno",角.gif
228,楽,樂,木,1981,13,2,4,"Ki, Kihen",pleasure,இசை/இன்பம்,ガク、ラク、たの-しい、たの-しむ,,象形 Pictographic,"gaku, raku","tano(shii), tano(shimu)",楽.gif
234,活,,水,1981,9,2,3,"Mizu, Sanzui, Shitamizu",active,செயல்திறன்,カツ,い,形声 Phonetic,katsu,-,活.gif
270,間,,門,1981,12,2,5,Mongamae,interval,"இடைவேளை, இடம்",カン、ケン、あいだ、ま,あ、か、い,会意 Com. Ideographic,"kan, ken","aida, ma",間.gif
292,丸,,丶,1981,3,2,2,Ten,circle,வட்டம்,ガン、まる、まる-い、まる-める,,象形 Pictographic,gan,"maru, maru(i), maru(meru)",丸.gif
295,岩,,山,1981,8,2,2,"Yama, Yamahen",boulder,பாறை,ガン、いわ,,象形 Pictographic,gan,iwa,岩.gif
299,顔,,頁,1981,18,2,3,Oogai,face,முகம்,ガン、かお,,形声 Phonetic,gan,kao,顔.gif
309,汽,,水,1981,7,2,1,"Mizu, Sanzui, Shitamizu",steam,நீராவி,キ,,形声 Phonetic,ki,-,汽.gif
316,記,,言,1981,10,2,3,"Gon, Gonben",write down,பதிவு,キ、しる-す,,形声 Phonetic,ki,shiru(su),記.gif
320,帰,歸,止,1981,10,2,4,"Haba, Kinben",return,திரும்ப,キ、かえ-る、かえ-す,,会意 Com. Ideographic,ki,"kae(ru), kae(su)",帰.gif
362,弓,,弓,1981,3,2,1,"Yumi, Yumihen","bow (archery, violin)",வில்,キュウ、ゆみ,,象形 Pictographic,kyuu,yumi,弓.gif
381,牛,,牛,1981,4,2,4,"Ushi, Ushihen",cow,பசு,ギュウ、うし,ゴ,象形 Pictographic,gyuu,ushi,牛.gif
391,魚,,魚,1981,11,2,4,"Uo, Uohen",fish,மீன்,ギョ、うお、さかな,,象形 Pictographic,gyo,"uo, sakana",魚.gif
398,京,,亠,1981,8,2,4,Nabebuta,capital,தலைநகர்,キョウ、ケイ,キン,象形 Pictographic,"kyoo, kei",-,京.gif
410,強,,弓,1981,11,2,4,"Yumi, Yumihen",strong,வலிமை,キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる,こわ、ごわ,会意 Com. Ideographic,"kyoo, goo","tsuyo(i), tsuyo(maru), tsuyo(meru), shi(iru)",強.gif
411,教,,攴,1981,11,2,4,Nobun,teach,கற்பித்தல்,キョウ、おし-える、おそ-わる,し,会意 Com. Ideographic,kyoo,"oshi(eru), oso(waru)",教.gif
431,近,,辵,1981,7,2,4,Shinnyoo,near,அருகில்,キン、ちか-い,ゴン、コン,形声 Phonetic,kin,chika(i),近.gif
469,兄,,儿,1981,5,2,4,Hitoashi,older brother,அண்ணன்,ケイ、[キョウ]、あに,,会意 Com. Ideographic,"kei, [kyoo]",ani,兄.gif
471,形,,彡,1981,7,2,3,Sanzukuri,shape,வடிவம்,ケイ、ギョウ、かた、かたち,,会意 Com. Ideographic,"kei, gyoo","kata, katachi",形.gif
478,計,,言,1981,9,2,4,"Gon, Gonben",measure,கணிப்பு,ケイ、はか-る、はか-らう,ケ、ゲ,会意 Com. Ideographic,kei,"haka(ru), haka(rau)",計.gif
545,元,,儿,1981,4,2,4,Hitoashi,origin,அடிமூலம்,ゲン、ガン、もと,はじ,象形 Pictographic,"gen, gan",moto,元.gif
548,言,,言,1981,7,2,4,"Gon, Gonben",say,சொல்லு,ゲン、ゴン、い-う、こと,,象形 Pictographic,"gen, gon","i(u), koto",言.gif
551,原,,厂,1981,10,2,3,Gandare,field,சமவெளி,ゲン、はら,,象形 Pictographic,gen,hara,原.gif
558,戸,,戶,1981,4,2,2,"To, Tokanmuri",door,கதவு,コ、と,,象形 Pictographic,ko,to,戸.gif
559,古,,口,1981,5,2,4,"Kuchi, Kuchihen",old,பழமையான,コ、ふる-い、ふる-す,いにしえ,会意 Com. Ideographic,ko,"furu(i), furu(su)",古.gif
578,午,,十,1981,4,2,5,Juu,noon,மதியம்,ゴ,うま,象形 Pictographic,go,-,午.gif
580,後,,彳,1981,9,2,5,Gyooninben,behind,பின்,ゴ、コウ、のち、うし-ろ、あと、おく-れる,,会意 Com. Ideographic,"go, koo","nochi, ushi(ro), ato, oku(reru)",後.gif
584,語,,言,1981,14,2,5,"Gon, Gonben",language,மொழி,ゴ、かた-る、かた-らう,,形声 Phonetic,go,"kata(ru), kata(rau)",語.gif
588,工,,工,1981,3,2,4,"E, Takumihen",craft,தொழில்,コウ、ク,たくみ,象形 Pictographic,"koo, ku",-,工.gif
589,公,,八,1981,4,2,2,Hachi,public,பொது,コウ、おおやけ,ク、グ、きみ,象形 Pictographic,koo,ooyake,公.gif
594,広,廣,广,1981,5,2,4,Madare,wide,பரப்பு,コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる,,形声 Phonetic,koo,"hiro(i), hiro(maru), hiro(meru), hiro(garu), hiro(geru)",広.gif
596,交,,亠,1981,6,2,3,Nabebuta,mix,பரிமாற்றம்,コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす,,象形 Pictographic,koo,"maji(waru), maji(eru), maji(ru), ma(zaru), ma(zeru), ka(u), ka(wasu)",交.gif
597,光,,儿,1981,6,2,3,Hitoashi,ray,ஒளி,コウ、ひか-る、ひかり,,会意 Com. Ideographic,koo,"hika(ru), hikari",光.gif
602,考,,老,1981,6,2,4,Oikanmuri,think,யோசனை,コウ、かんが-える,,形声 Phonetic,koo,kanga(eru),考.gif
603,行,,行,1981,6,2,5,Gyoogamae,go,போ,コウ、ギョウ、[アン]、い-く、ゆ-く、おこな-う,,象形 Pictographic,"koo, gyoo, [an]","i(ku), yu(ku), okona(u)",行.gif
628,高,,高,1981,10,2,5,Takai,"tall, expensive",உயரம்,コウ、たか-い、たか、たか-まる、たか-める,,会意 Com. Ideographic,koo,"taka(i), taka, taka(maru), taka(meru)",高.gif
632,黄,黃,黃,1981,11,2,2,"Ki, Kiiro",yellow,மஞ்சள்,コウ、オウ、き、[こ],,象形 Pictographic,"koo, oo","ki, [ko]",黄.gif
652,合,,口,1981,6,2,3,"Kuchi, Kuchihen",fit,பொருந்தும்,ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる,コウ,象形 Pictographic,"goo, gaQ, [kaQ]","a(u), a(wasu), a(waseru)",合.gif
659,谷,,谷,1981,7,2,2,Tani,valley,பள்ளத்தாக்கு,コク、たに,きわ,象形 Pictographic,koku,tani,谷.gif
661,国,國,囗,1981,8,2,5,Kunigamae,country,நாடு,コク、くに,,会意 Com. Ideographic,koku,kuni,国.gif
662,黒,黑,黑,1981,11,2,4,Kuro,black,கருப்பு,コク、くろ、くろ-い,,会意 Com. Ideographic,koku,"kuro, kuro(i)",黒.gif
670,今,,人,1981,4,2,5,"Hito, Ninben, Hitoyane",now,இப்போது,コン、キン、いま,,仮借 Loan,"kon, kin",ima,今.gif
693,才,,手,1981,3,2,3,Tehen,genius,திறமை,サイ,,象形 Pictographic,sai,-,才.gif
706,細,,糸,1981,11,2,2,"Ito, Itohen",thin,ச细细,サイ、ほそ-い、ほそ-る、こま-か、こま-かい,ささ,形声 Phonetic,sai,"hoso(i), hoso(ru), koma(ka), koma(kai)",細.gif
723,作,,人,1981,7,2,4,"Hito, Ninben, Hitoyane",make,செயல்,サク、サ、つく-る,,形声 Phonetic,"saku, sa",tsuku(ru),作.gif
753,算,,竹,1981,14,2,2,"Take, Takekanmuri",calculate,கணிதம்,サン,,会意 Com. Ideographic,san,-,算.gif
762,止,,止,1981,4,2,4,Tomeru,stop,நிறுத்து,シ、と-まる、と-める,や,象形 Pictographic,shi,"to(maru), to(meru)",止.gif
768,市,,巾,1981,5,2,3,"Haba, Kinben",market,நகரம்,シ、いち,か、が,象形 Pictographic,shi,ichi,市.gif
769,矢,,矢,1981,5,2,1,"Ya, Yahen",arrow,அம்பு,シ、や,,象形 Pictographic,shi,ya,矢.gif
780,姉,,女,1981,8,2,4,"Onna, Onnahen",older sister,அக்கா,シ、あね,,形声 Phonetic,shi,ane,姉.gif
785,思,,心,1981,9,2,4,"Kokoro, Risshinben, Shitagokoro",think,நினைவு,シ、おも-う,,形声 Phonetic,shi,omo(u),思.gif
790,紙,,糸,1981,10,2,4,"Ito, Itohen",paper,காகிதம்,シ、かみ,,形声 Phonetic,shi,kami,紙.gif
808,寺,,寸,1981,6,2,2,Sun,Buddhist temple,கோவில்,ジ、てら,シ,形声 Phonetic,ji,tera,寺.gif
811,自,,自,1981,6,2,4,Mizukara,oneself,தானாக,ジ、シ、みずか-ら,おのずか、おの、よ,象形 Pictographic,"ji, shi",mizuka(ra),自.gif
818,時,,日,1981,10,2,5,"Nichi, Nichihen",time,நேரம்,ジ、とき,シ,形声 Phonetic,ji,toki,時.gif
832,室,,宀,1981,9,2,4,Ukanmuri,room,அறை,シツ、むろ,,会意 Com. Ideographic,shitsu,muro,室.gif
842,社,社 [4],示,1981,7,2,4,"Shimesu, Shimesuhen",company,"நிறுவனம், கோவில்",シャ、やしろ,,形声 Phonetic,sha,yashiro,社.gif
861,弱,,弓,1981,10,2,3,"Yumi, Yumihen",weak,பலவீனம்,ジャク、よわ-い、よわ-る、よわ-まる、よわ-める,,会意 Com. Ideographic,jaku,"yowa(i), yowa(ru), yowa(maru), yowa(meru)",弱.gif
869,首,,首,1981,9,2,3,Kubi,neck,தலை,シュ、くび,こうべ,象形 Pictographic,shu,kubi,首.gif
891,秋,,禾,1981,9,2,4,"Nogi, Nogihen",autumn,அறுசீசன் (modern:秋ம்),シュウ、あき,,会意 Com. Ideographic,shuu,aki,秋.gif
898,週,,辵,1981,11,2,4,Shinnyoo,week,வாரம்,シュウ,,形声 Phonetic,shuu,-,週.gif
930,春,,日,1981,9,2,4,"Nichi, Nichihen",springtime,வசந்தம்,シュン、はる,,形声 Phonetic,shun,haru,春.gif
946,書,,曰,1981,10,2,5,Hirabi,write,எழுதுதல்/புத்தகம்,ショ、か-く,,会意 Com. Ideographic,sho,ka(ku),書.gif
961,少,,小,1981,4,2,4,Shoo,few,குறைவு,ショウ、すく-ない、すこ-し,,象形 Pictographic,shoo,"suku(nai), suko(shi)",少.gif
1020,場,,土,1981,12,2,4,"Tsuchi, Tsuchihen",place,இடம்,ジョウ、ば,,形声 Phonetic,joo,ba,場.gif
1029,色,,色,1981,6,2,4,Iro,color,நிறம்,ショク、シキ、いろ,,会意 Com. Ideographic,"shoku, shiki",iro,色.gif
1031,食,,食,1981,9,2,5,"Shoku, Shokuhen","eat, meal",உணவு,ショク、[ジキ]、く-う、く-らう、た-べる,は,象形 Pictographic,"shoku, [jiki]","ku(u), ku(rau), ta(beru)",食.gif
1041,心,,心,1981,4,2,4,"Kokoro, Risshinben, Shitagokoro",heart,மனது/இதயம்,シン、こころ,,象形 Pictographic,shin,kokoro,心.gif
1065,新,,斤,1981,13,2,4,"Kin, Onozukuri",new,புதியது,シン、あたら-しい、あら-た、にい,,会意 Com. Ideographic,shin,"atara(shii), ara(ta), nii",新.gif
1069,親,,見,1981,16,2,4,Miru,parent,பெற்றோர்,シン、おや、した-しい、した-しむ,ちか,会意 Com. Ideographic,shin,"oya, shita(shii), shita(shimu)",親.gif
1080,図,圖,囗,1981,7,2,4,Kunigamae,diagram,வரைபடம்,ズ、ト、はか-る,,会意 Com. Ideographic,"zu, to",haka(ru),図.gif
